
OccupationCode|EducationLevel
47-5023.00|Less than a High School Diploma
47-5023.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-5041.00|High School Diploma - or the equivalent (for example, GED)
47-5041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-5041.00|Some College Courses
47-5043.00|High School Diploma - or the equivalent (for example, GED)
47-5043.00|Less than a High School Diploma
47-5044.00|High School Diploma - or the equivalent (for example, GED)
47-5044.00|Less than a High School Diploma
47-5044.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
47-5051.00|High School Diploma - or the equivalent (for example, GED)
47-5051.00|Less than a High School Diploma
47-5071.00|High School Diploma - or the equivalent (for example, GED)
47-5071.00|Less than a High School Diploma
47-5071.00|Some College Courses
47-5081.00|High School Diploma - or the equivalent (for example, GED)
49-1011.00|Bachelor's Degree
49-1011.00|High School Diploma - or the equivalent (for example, GED)
49-1011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-1011.00|Some College Courses
49-2011.00|Associate's Degree (or other 2-year degree)
49-2011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-2011.00|Some College Courses
49-2021.00|Associate's Degree (or other 2-year degree)
49-2021.00|Bachelor's Degree
49-2021.00|High School Diploma - or the equivalent (for example, GED)
49-2021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-2021.00|Some College Courses
49-2022.00|Associate's Degree (or other 2-year degree)
49-2022.00|High School Diploma - or the equivalent (for example, GED)
49-2022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-2022.00|Some College Courses
49-2091.00|Associate's Degree (or other 2-year degree)
49-2091.00|High School Diploma - or the equivalent (for example, GED)
49-2091.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-2091.00|Some College Courses
49-2092.00|Associate's Degree (or other 2-year degree)
49-2092.00|High School Diploma - or the equivalent (for example, GED)
49-2092.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-2092.00|Some College Courses
49-2093.00|Associate's Degree (or other 2-year degree)
49-2093.00|High School Diploma - or the equivalent (for example, GED)
49-2093.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
49-2093.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-2094.00|Associate's Degree (or other 2-year degree)
49-2094.00|High School Diploma - or the equivalent (for example, GED)
49-2094.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-2095.00|Associate's Degree (or other 2-year degree)
49-2095.00|High School Diploma - or the equivalent (for example, GED)
